id,word,pos,ua,definitionUa,source_stage,final_disposition,category,confidence,provenance,proposal_state,proposed_target,proposed_value
SB-0200,coincide,v.,збігатися,Відбутися одночасно.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0201,collaborate,v.,співпрацювати,Працювати разом з іншими для досягнення спільної мети.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0204,collision,n.,зіткнення,"Будь-яка подія, під час якої два або більше тіл діють один на одного за відносно короткий час. При зіткненні фізичний контакт двох тіл не є необхідним.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0205,colonial,adj.,колоніальний,З колонії або відноситься до неї.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що стосується колонії або колоніалізму."
SB-0206,columnist,n.,колумніст,"Регулярний автор колонки, наприклад, у журналі чи газеті.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0210,commentator,n.,коментатор,"Особа, яка надає миттєвий опис публічної події, зокрема спортивної, для аудиторії ЗМІ.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0211,commerce,n.,комерція,Обмін або купівля-продаж товарів; особливо великомасштабний обмін товарами між різними місцями чи спільнотами; розширена торгівля або рух.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0212,commissioner,n.,комісар,"Посадовець, відповідальний за урядове відомство, особливо поліцію.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0215,companion,n.,компаньйон,"Друг, знайомий або партнер; хтось, з ким проводять час або супроводжують",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Людина, з якою проводять час або яка супроводжує когось; товариш чи партнер."
SB-0217,compassion,n.,співчуття,"Глибоке усвідомлення страждань інших людей настільки, що вони мотивовані полегшити такі стани.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Глибоке співчуття до чужих страждань, що спонукає допомогти."
SB-0218,compel,v.,змушувати,"Змушувати, обмежувати або примушувати.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0222,competence,n.,компетентність,"Якість або стан компетентності, тобто здатності або придатності для виконання загальної ролі.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0223,competent,adj.,компетентний,"Наявність достатніх навичок, знань, здібностей або кваліфікації.",part1-floor,P2,pos-style,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0232,compute,v.,обчислювати,"Рахувати, обчислювати.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0233,conceal,v.,приховувати,"Приховати щось від очей або від загального відома, намагатися зберегти щось у таємниці.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
